label,linear_bias,quadratic_bias,normalization,mean_mu,mean_traceless
isotropic,+0.000000,+0.000000,2.00000000,+0.00000000,+0.00000000
mild_forward_bias,+0.250000,+0.000000,2.00000000,+0.08333333,+0.00000000
mild_backward_bias,-0.250000,+0.000000,2.00000000,-0.08333333,+0.00000000
quadrupolar_bias,+0.000000,+0.300000,2.20000000,+0.00000000,+0.02424242
combined_bias,+0.250000,+0.300000,2.20000000,+0.07575758,+0.02424242
