omitted,observed_r,predicted_r,residual,pull
BEST_inner,0.790000,0.965858,+0.175858,+0.222605
BEST_outer,0.770000,0.941584,+0.171584,+0.222837
GALLEX_combined,0.882000,0.583630,-0.298370,-0.338289
SAGE_51Cr,0.950000,0.789343,-0.160657,-0.169113
SAGE_37Ar,0.790000,0.817808,+0.027808,+0.035201
